0		73.0213
1		1574.9
2		5574
3		9955
4		17172.6
5		31781.9
6		59509.7
7		81894.1
8		86531.7
9		97678.7
10		101679
11		124229
12		145051
13		165572
14		193160
15		219080
16		249257
17		280512
18		314759
19		350734
20		390817
21		428130
22		468210
23		513464
24		559696
25		606024
