1000				0.5853
5000				15.7172
9000				55.3607
13000				95.7421
17000				166.459
21000				255.626
25000				362.887
29000				479.635
33000				619.848
37000				775.106
41000				943.668
45000				1140.08
49000				1346.92
53000				1569.72
57000				1809
61000				2064.06
65000				2363.95
69000				2670.05
73000				2981.75
77000				3293.89
81000				3658.16
85000				4015.71
89000				4411.81
93000				4867.94
97000				5233.59
101000				5691.84

